Date,Project,Chain,Project Type,Loss,Type,Attack tx,Analyse,Reference Link
2023.05.24,Local Trade LCT,BSC,,384BNB,Improper Access Control of Close-source contract,https://bscscan.com/tx/0x57b589f631f8ff20e2a89a649c4ec2e35be72eaecf155fdfde981c0fec2be5ba,,
2023.05.23,LFI Token,Polygon,,36K,Business Logic Flaw,https://polygonscan.com/tx/0xa0480d0f7c8d8bf898cadde954e773ddc3740f1ffa31cdd98fe4c5f5d8266243,,
2023.05.14,landNFT,BSC,,149616BUSD,Lack of permission control,https://bscscan.com/tx/0xe4db1550e3aa78a05e93bfd8fbe21b6eba5cce50dc06688949ab479ebed18048,,
2023.05.12,LW,BSC,,50K,FlashLoan Price Manipulation,https://bscscan.com/tx/0xd0dd0c8aa71860ff2d7fe6f9763892d936e31fb8c1aef01ec5ffbc947dbedbeb,,
2023.05.10,SNK,BSC,,197K,Reward Calculation Error,https://app.blocksec.com/explorer/tx/bsc/0x7394f2520ff4e913321dd78f67dd84483e396eb7a25cbb02e06fe875fc47013a,,
2023.05.09,MCC,ETH,,10ETH,Reflection token,https://etherscan.io/tx/0xf72f1d10fc6923f87279ce6c0aef46e372c6652a696f280b0465a301a92f2e26,,
2023.05.06,Melo,BSC,,90K,Access Control,https://bscscan.com/tx/0x3f1973fe56de5ecd59a815d3b14741cf48385903b0ccfe248f7f10c2765061f7,,
2023.05.05,DEI,Arbitrum,,5.4M,wrong implemention,https://arbiscan.io/tx/0xb1141785b7b94eb37c39c37f0272744c6e79ca1517529fec3f4af59d4c3c37ef,,
2023.05.03,NeverFall,BSC,,74K,Price Manipulation,https://bscscan.com/tx/0xccf513fa8a8ed762487a0dcfa54aa65c74285de1bc517bd68dbafa2813e4b7cb,,
2023.05.02,Level,BSC,,1M,Business Logic Flaw,https://bscscan.com/tx/0xe1f257041872c075cbe6a1212827bc346df3def6d01a07914e4006ec43027165,,
2023.04.18,0vix,Polygon,,2M,FlashLoan Price Manipulation,https://app.blocksec.com/explorer/tx/polygon/0x10f2c28f5d6cd8d7b56210b4d5e0cece27e45a30808cd3d3443c05d4275bb008,,
