日期,项目方,Chain,项目类型,损失金额($),漏洞类型,attack tx,分析结论,reference link	
2023.4.1,Allbridge,BSC,,550k,Flawed Price Dependency,https://app.blocksec.com/explorer/tx/bsc/0x7ff1364c3b3b296b411965339ed956da5d17058f3164425ce800d64f1aef8210,,,
2023.4.2,Low-Carb-Crusader,ETH,,25m,Business Logic Flaw,"https://app.blocksec.com/explorer/tx/eth/0xef7f6864a93f8d10dd8fafbe75b041db8c282159fe43632c26a29f176894678e,https://app.blocksec.com/explorer/tx/eth/0x8222caee8d1e1188f7a99af8315486a828aaf3432b6528a8e45b9f1bb73653e3,https://app.blocksec.com/explorer/tx/eth/0x787980ae064cba2430213ffe14bff6fd71193983055725dcf185341bab68811e,https://app.blocksec.com/explorer/tx/eth/0x454c858e7f7b11706335225c72b1eaee13a215e8657a4ae699669d6f1cd18550,https://app.blocksec.com/explorer/tx/eth/0x2bb955b94aa5e2cc0854e23b58268d89aab93e17cb8b11c61996d875f1cc64f9,https://app.blocksec.com/explorer/tx/eth/0x6957ccca95ad6a7f2d698a2362f4881591ff18f18cbc5edb149ce490521639a6,https://app.blocksec.com/explorer/tx/eth/0xa34d79cbe9aef1bf07692885b353d85912523dfc4662611d33dd09ff6c319c85,https://app.blocksec.com/explorer/tx/eth/0x4b2a2d03b3dc136ef94ebe2f3bc36231b104172bcb598104730898f7d81a55db",,,
2023.4.4,Sentiment,Arbitrum,,1m,Flawed Price Dependency,https://app.blocksec.com/explorer/tx/arbitrum/0xa9ff2b587e2741575daf893864710a5cbb44bb64ccdc487a100fa20741e0f74d,,,
2023.4.9,SushiSwap,ETH,,3.3m,Untrusted Input,"https://app.blocksec.com/explorer/tx/eth/0x11d069cbe4490cc483b1ae2e77c9c79493213347b42a8dec2ded25724e2f1835,https://app.blocksec.com/explorer/tx/eth/0x04b166e7b4ab5105a8e9c85f08f6346de1c66368687215b0e0b58d6e5002bc32,https://app.blocksec.com/explorer/tx/eth/0x40be81f859227aa952e70fe1f5e8c84feed6aa3c2a4d6bf38125cd6bc222560a,https://app.blocksec.com/explorer/tx/eth/0xbb9aac794415b2fbe2c947fe37ebb29c75526c150d33dd408ccddbcb52534828,https://app.blocksec.com/explorer/tx/eth/0x6ac2d60c8f48144f2adb10ab161efdd491a791c6a666c450d4b33c6889fc0925,https://app.blocksec.com/explorer/tx/eth/0xea3480f1f1d1f0b32283f8f282ce16403fe22ede35c0b71a732193e56c5c45e8,https://app.blocksec.com/explorer/tx/eth/0x8e28bc58897f35e71b727f3066ae57b4d597014db6778bbf70838347c112e0e1,https://app.blocksec.com/explorer/tx/eth/0x542838429f32b49d71264cc1036bb7cfd66824613ba0c437f7ce4269edb58f74,https://app.blocksec.com/explorer/tx/eth/0x3610d3e3f2381c73f4bd128df9be90de87482802f30712dd555619b8bf3462a4,https://app.blocksec.com/explorer/tx/eth/0x43ff7e01423044cfb501b4fe9ef1386725c0ddc117dadd6e6620cb68bdeaf4f9",,,
2023.4.11,Paribus,Arbitrum,,100k,Reentrancy,https://app.blocksec.com/explorer/tx/arbitrum/0x0e29dcf4e9b211a811caf00fc8294024867bffe4ab2819cc1625d2e9d62390af,,,
2023.4.11,MetaPoint,BSC,,820k,Access Control Issue,https://app.blocksec.com/explorer/tx/bsc/0xccd12f22629b2c42d2b680362dadbd1b3d89cb4a87a8c9b297766b4974c6ad34,,,
2023.4.13,yearnFinance,ETH,,11m,Misconfiguration,"https://app.blocksec.com/explorer/tx/eth/0x8db0ef33024c47200d47d8e97b0fcfc4b51de1820dfb4e911f0e3fb0a4053138,https://app.blocksec.com/explorer/tx/eth/0xd55e43c1602b28d4fd4667ee445d570c8f298f5401cf04e62ec329759ecda95d",,,
2023.4.15,Hundred Finance,Optimism,,7m,Precision Loss,https://app.blocksec.com/explorer/tx/optimism/0x6e9ebcdebbabda04fa9f2e3bc21ea8b2e4fb4bf4f4670cb8483e2f0b2604f451,,,
2023.4.28,0vix Protocol,Polygon,,550k,Flawed Price Dependency,https://app.blocksec.com/explorer/tx/polygon/0x10f2c28f5d6cd8d7b56210b4d5e0cece27e45a30808cd3d3443c05d4275bb008,,,
2023.5.1,Level Finance,BSC,,1m,Business Logic Flaw,https://app.blocksec.com/explorer/tx/bsc/0xe1f257041872c075cbe6a1212827bc346df3def6d01a07914e4006ec43027165,,,
2023.5.5,DEI,Arbitrum,,4.5m,Business Logic Flaw,https://app.blocksec.com/explorer/tx/arbitrum/0xb1141785b7b94eb37c39c37f0272744c6e79ca1517529fec3f4af59d4c3c37ef,,,
2023.5.10,SNK,BSC,,197k,Reward Calculation Error,https://app.blocksec.com/explorer/tx/bsc/0x7394f2520ff4e913321dd78f67dd84483e396eb7a25cbb02e06fe875fc47013a,,,
2023.5.13,SellToken,BSC,,197k,Flawed Price Dependency,https://app.blocksec.com/explorer/tx/bsc/0x7d04e953dad4c880ad72b655a9f56bc5638bf4908213ee9e74360e56fa8d7c6a,,,
2023.5.23,CS Token,BSC,,714k,Business Logic Flaw,https://app.blocksec.com/explorer/tx/bsc/0x906394b2ee093720955a7d55bff1666f6cf6239e46bea8af99d6352b9687baa4,,,
2023.5.24,GPT Token,BSC,,155k,Fee Machenism Exploitation,https://app.blocksec.com/explorer/tx/bsc/0xb77cb34cd01204bdad930d8c172af12462eef58dea16199185b77147d6533391,,,
2023.5.28,Jimbos Protocol,Arbitrum,,8m,Flawed Price Dependency,"https://app.blocksec.com/explorer/tx/arbitrum/0x44a0f5650a038ab522087c02f734b80e6c748afb207995e757ed67ca037a5eda,https://app.blocksec.com/explorer/tx/arbitrum/0x3c6e053faecd331883641c1d23c9d9d37d065e4f9c4086e94a3c34bf8702618a,https://app.blocksec.com/explorer/tx/arbitrum/0xfda5464e97043a2d0093cbed6d0a64f6a86049f5e9608c014396a7390188670e,https://app.blocksec.com/explorer/tx/arbitrum/0xf9baf8cee8973cf9700ae1b1f41c625d7a2abdbcbc222582d24a8f2f790d0b5a",,,
2023.5.28,BabyDogeCoin,BSC,,135k,Lack Slippage Protection,https://app.blocksec.com/explorer/tx/bsc/0x098e7394a1733320e0887f0de22b18f5c71ee18d48a0f6d30c76890fb5c85375,,,
2023.5.31,ERC20TokenBank,ETH,,111k,Flawed Price Dependency,https://app.blocksec.com/explorer/tx/eth/0x578a195e05f04b19fd8af6358dc6407aa1add87c3167f053beb990d6b4735f26,,,
2023.6.12,Sturdy,ETH,,800k,Flawed Price Dependency,https://app.blocksec.com/explorer/tx/eth/0xeb87ebc0a18aca7d2a9ffcabf61aa69c9e8d3c6efade9e2303f8857717fb9eb7,,,
2023.6.17,Pawnfi,ETH,,820k,Untrusted Input,https://app.blocksec.com/explorer/tx/eth/0xe855cc3bad87933bf742fd474bd0ae0ec58d45e9c1a0643b9700dafe8faf0864,,,
2023.6.17,MidasCapitalXYZ,BSC,,600k,Precision Loss,https://app.blocksec.com/explorer/tx/bsc/0x4a304ff08851106691f626045b0f55d403e3a0958363bdf82b96e8ce7209c3a6,,,
2023.6.23,Shido,BSC,,326k,Business Logic Flaw,https://app.blocksec.com/explorer/tx/bsc/0x72f8dd2bcfe2c9fbf0d933678170417802ac8a0d8995ff9a56bfbabe3aa712d6,,,
2023.7.8,CIVNFT,ETH,,180k,Access Control Issue,https://app.blocksec.com/explorer/tx/eth/0x93a033917fcdbd5fe8ae24e9fe22f002949cba2f621a1c43a54f6519479caceb,,,
2023.7.10,Arcadia Finance,ETH Optimism,,400k,Reentrancy,"https://app.blocksec.com/explorer/tx/eth/0xefc4ac015069fdf9946997be0459db44c0491221159220be782454c32ec2d651,https://app.blocksec.com/explorer/tx/optimism/0xca7c1a0fde444e1a68a8c2b8ae3fb76ec384d1f7ae9a50d26f8bfdd37c7a0afe",,,
2023.7.11,Libertify,ETH Polygon,,452k,Reentrancy,"https://app.blocksec.com/explorer/tx/eth/0xcb0ad9da33ecabf75df0a24aabf8a4517e4a7c5b1b2f11fee3b6a1ad9299a282,https://app.blocksec.com/explorer/tx/polygon/0x7320accea0ef1d7abca8100c82223533b624c82d3e8d445954731495d4388483",,,
2023.7.11,Rodeo Finance,Arbitrum,,888k,Flawed Price Dependency,https://app.blocksec.com/explorer/tx/arbitrum/0xb1be5dee3852c818af742f5dd44def285b497ffc5c2eda0d893af542a09fb25a,,,
2023.7.20,FFIST Token,BSC,,110k,Business Logic Flaw,https://app.blocksec.com/explorer/tx/bsc/0x199c4b88cab6b4b495b9d91af98e746811dd8f82f43117c48205e6332db9f0e0,,,
2023.7.21,Conic Finance,ETH,,3.3m,Flawed Price Dependency,https://app.blocksec.com/explorer/tx/eth/0x8b74995d1d61d3d7547575649136b8765acb22882960f0636941c44ec7bbe146,,,
2023.7.24,Palmswap,BSC,,900k,Flawed Price Dependency,https://app.blocksec.com/explorer/tx/bsc/0x62dba55054fa628845fecded658ff5b1ec1c5823f1a5e0118601aa455a30eac9,,,
2023.7.26,Carson Token,BSC,,150k,Flawed Price Dependency,"https://app.blocksec.com/explorer/tx/bsc/0xcd781fec34b46f8c7372a9fcc7604c210b40442dc4f1a5c274fc3f9283df39ce,https://app.blocksec.com/explorer/tx/bsc/0xed52a42b2f45e4dea8d07f70d645931e4f6da65e9ab281cd3dbb9d9d21febb45,https://app.blocksec.com/explorer/tx/bsc/0x6a94a644856c3aa1db8249b700956379b6b3a18de9b8811566fbd56c89240a01,https://app.blocksec.com/explorer/tx/bsc/0x37d921a6bb0ecdd8f1ec918d795f9c354727a3ff6b0dba98a512fceb9662a3ac",,,
2023.7.30,Curve,ETH,,60m,Reentrancy,"https://app.blocksec.com/explorer/tx/eth/0x006763dff653ecddfd3681181a29e7e6d6c2aaa7bafb27fe1376f3f7ce367c1e,https://app.blocksec.com/explorer/tx/eth/0xe928d5de53bea42231d0dd140a3f761adb93081038a368591eb1166168297bdc,https://app.blocksec.com/explorer/tx/eth/0xcd99fadd7e28a42a063e07d9d86f67c88e10a7afe5921bd28cd1124924ae2052,https://app.blocksec.com/explorer/tx/eth/0x2e7dc8b2fb7e25fd00ed9565dcc0ad4546363171d5e00f196d48103983ae477c,https://app.blocksec.com/explorer/tx/eth/0xb676d789bb8b66a08105c844a49c2bcffb400e5c1cfabd4bc30cca4bff3c9801,https://app.blocksec.com/explorer/tx/eth/0xc93eb238ff42632525e990119d3edc7775299a70b56e54d83ec4f53736400964,https://app.blocksec.com/explorer/tx/eth/0xa84aa065ce61dbb1eb50ab6ae67fc31a9da50dd2c74eefd561661bfce2f1620c",,,
2023.8.1,LeetSwap,Base,,630k,Access Control Issue,https://app.blocksec.com/explorer/tx/base/0xf0c2ed12a446713d6e38e7a4f0e05d45360ee9305b7d6e0b796fc44f848f6052,,,
2023.8.3,MEV Bot 0xd61492,Arbitrum,,800k,Unverified User Input,https://app.blocksec.com/explorer/tx/arbitrum/0x864c8cfb8c54d3439613e6bd0d81a5ea2c5d0ad25c9af11afd190e5ea4dcfc1f,,,
2023.8.9,Earning.Farm,ETH,,286k,Reentrancy,https://app.blocksec.com/explorer/tx/eth/0x6e6e556a5685980317cb2afdb628ed4a845b3cbd1c98bdaffd0561cb2c4790fa,,,
2023.8.13,Zunami Protocol,ETH,,2m,Flawed Price Dependency,https://app.blocksec.com/explorer/tx/eth/0x0788ba222970c7c68a738b0e08fb197e669e61f9b226ceec4cab9b85abe8cceb,,,
2023.8.18,Exactly Protocol,Optimism,,7m,Untrusted Input,"https://app.blocksec.com/explorer/tx/optimism/0xe8999fb57684856d637504f1f0082b69a3f7b34dd4e7597bea376c9466813585,https://app.blocksec.com/explorer/tx/optimism/0x1526acfb7062090bd5fed1b3821d1691c87f6c4fb294f56b5b921f0edf0cfad6,https://app.blocksec.com/explorer/tx/optimism/0x3d6367de5c191204b44b8a5cf975f257472087a9aadc59b5d744ffdef33a520e",,,
2023.8.26,SVT,BSC,,400k,Flawed Price Calculation,https://app.blocksec.com/explorer/tx/bsc/0xf2a0c957fef493af44f55b201fbc6d82db2e4a045c5c856bfe3d8cb80fa30c12,,,
2023.8.27,Balancer,ETH,,2m,Precision Loss,https://app.blocksec.com/explorer/tx/eth/0x2a027c8b915c3737942f512fc5d26fd15752d0332353b3059de771a35a606c2d,,,
2023.9.23,Stars Arena,Avalanche,,3m,Reentrancy,https://app.blocksec.com/explorer/tx/avalanche/0x49c5b3b414bf874689de9a5b98c55445659c2fd2ad6f8a3cdd4e0203937c395e,,,
2023.10.11,BH Token,BSC,,1.3m,Business Logic Flaw,https://app.blocksec.com/explorer/tx/bsc/0xc11e4020c0830bcf84bfa197696d7bfad9ff503166337cb92ea3fade04007662,,,
2023.10.12,Platypus,Avalanche,,2m,Business Logic Flaw,https://app.blocksec.com/explorer/tx/avalanche/0xab5f6242fb073af1bb3cd6e891bc93d247e748a69e599a3744ff070447acb20f,,,
2023.10.13,WiseLending.com,ETH,,260k,Precision Loss,https://app.blocksec.com/explorer/tx/eth/0x7ac4a98599596adbf12fffa2bd23e2a2d2ac7e8989b6ea043fcc412a29126555,,,
2023.10.18,Hope.money,ETH,,825k,Precision Loss,https://app.blocksec.com/explorer/tx/eth/0x1a7ee0a7efc70ed7429edef069a1dd001fbff378748d91f17ab1876dc6d10392,,,
2023.10.24,Maestro,ETH,,668k,Arbitrary Calls,https://app.blocksec.com/explorer/tx/eth/0xc087fbd68b9349b71838982e789e204454bfd00eebf9c8e101574376eb990d92,,,
2023.10.28,Astrid Finance,ETH,,300k,Business Logic Flaw,https://app.blocksec.com/explorer/tx/eth/0x8af9b5fb3e2e3df8659ffb2e0f0c1f4c90d5a80f4f6fccef143b823ce673fb60,,,
2023.11.1,OnyxProtocol,ETH,,2m,Precision Loss,https://app.blocksec.com/explorer/tx/eth/0xf7c21600452939a81b599017ee24ee0dfd92aaaccd0a55d02819a7658a6ef635,,,
2023.11.6,TheStandard.io,Arbitrum,,290k,Lack of Slippage Protection,https://app.blocksec.com/explorer/tx/arbitrum/0x51293c1155a1d33d8fc9389721362044c3a67e0ac732b3a6ec7661d47b03df9f,,,
2023.11.7,MEV Bot 0x05f016,ETH,,2m,Access Control Issue,https://app.blocksec.com/explorer/tx/eth/0xbc08860cd0a08289c41033bdc84b2bb2b0c54a51ceae59620ed9904384287a38,,,
2023.11.10,Raft,ETH,,3.2m,Precision Loss,https://app.blocksec.com/explorer/tx/eth/0xfeedbf51b4e2338e38171f6e19501327294ab1907ab44cfd2d7e7336c975ace7,,,
2023.11.12,MEV Bot 0xa24734,ETH,,150k,Access Control Issue,"https://app.blocksec.com/explorer/tx/eth/0xdfbfb0387129541c65934e71deee404ea70de6629258ae49d9f24bcf6e866ea6,https://app.blocksec.com/explorer/tx/eth/0xb56e984a866afed36ccf28c2a659845f5529d7de3f609d67c16c20e337c106fc,https://app.blocksec.com/explorer/tx/eth/0x573199feba92ab6577847f2baa634ec84845d96474af31ca81a6b82ab3a4178f,https://app.blocksec.com/explorer/tx/eth/0x53eeab4447db331dbb47f93fd58a95d6faa230d559acde0687f8b5f5829e7a45",,,
2023.11.12,MEV Bot 0x8c2d4e,BSC,,365k,Access Control Issue,https://app.blocksec.com/explorer/tx/bsc/0x3dcb26a1f49eb4d02ca29960b4833bfb2e83d7b5d9591aed1204168944c8c9b3,,,
2023.11.22,KyberSwap,Optimism Arbitrum Polygon ETH Avalanche Base,,46m,Precision Loss,"https://app.blocksec.com/explorer/tx/optimism/0xef2c710b4dab33844b6affb1b05bdb943a1f89d4c22fdd6ddd5b07ea12d92360,https://app.blocksec.com/explorer/tx/optimism/0xef2c710b4dab33844b6affb1b05bdb943a1f89d4c22fdd6ddd5b07ea12d92360,https://app.blocksec.com/explorer/tx/polygon/0x34e5c79d5c11426286313db5069b8ecd07f5e32ac5afa4b08cbe181d33627ad7,https://app.blocksec.com/explorer/tx/polygon/0xb58c81460ef0167f492fb4900e9da60cc6fa1117bd5b67b2100bb5b5e5df8b0c,https://app.blocksec.com/explorer/tx/eth/0x396a83df7361519416a6dc960d394e689dd0f158095cbc6a6c387640716f5475,https://app.blocksec.com/explorer/tx/eth/0x09a3a12d58b0bb80e33e3fb8e282728551dc430c65d1e520fe0009ec519d75e8,https://app.blocksec.com/explorer/tx/arbitrum/0x0106c7549ac4e0de16aefce2b8fe339127ee8003b236f623d05edc41429de779,https://app.blocksec.com/explorer/tx/avalanche/0x96d90b23678b34e9ff324bdef7a18bf190289afff848a26882a1fe3110bf9714,https://app.blocksec.com/explorer/tx/avalanche/0x547aea57ae199779afe1f04473cd9a33aba6330df2c80e4d9d033ad3fb4f6e8d,https://app.blocksec.com/explorer/tx/arbitrum/0x567f0ba7741d097b6b1aaba68e8b75b9930f3cf946681cf9ad068aa34eb11c5b,https://app.blocksec.com/explorer/tx/polygon/0x94d9d5e0e57d2c0df400a8e3ad417678ef69f0272a5fcfe0d9ce788063c992bd,https://app.blocksec.com/explorer/tx/arbitrum/0x339a65bb935f69e584ea979aa39282414371767576d4f1186a047768ef0a57c5,https://app.blocksec.com/explorer/tx/optimism/0x7f325cf1201422cf7ab6dd06d66136c55b399144f21b70f09a0c799782c5c874,https://app.blocksec.com/explorer/tx/optimism/0xdaa80d75d872bf2513c09c76d81db54d9ddcfd06d4230e65e3bf8d87d2758db2,https://app.blocksec.com/explorer/tx/arbitrum/0xcea8599b8b82d5c17739fda9fe69a3e19a1613405929b3e191118681b702fc6a,https://app.blocksec.com/explorer/tx/eth/0x485e08dc2b6a4b3aeadcb89c3d18a37666dc7d9424961a2091d6b3696792f0f3,https://app.blocksec.com/explorer/tx/base/0x0a2957e7a2b45db525143d419137de854a741e7d2f61468b1dc3f83c9c27f9f7",,,
2023.12.5,BEARNDAO,BSC,,769k,Lack of Slippage Protection,https://app.blocksec.com/explorer/tx/bsc/0x51913be3f31d5ddbfc77da789e5f9653ed6b219a52772309802226445a1edd5f,,,
2023.12.6,Elephant Money,BSC,,165k,Flawed Price Dependency,"https://app.blocksec.com/explorer/tx/bsc/0x7ccb189c78376bdc35294f1779e7156233bcbc65f8681b3d6a7f512c1c2d5218,https://app.blocksec.com/explorer/tx/bsc/0xd423ae0e95e9d6c8a89dcfed243573867e4aad29ee99a9055728cbbe0a523439",,,
2023.12.13,Hypr Network,ETH,,200k,Business Logic Flaw,https://app.blocksec.com/explorer/tx/eth/0x51ce3d9cfc85c1f6a532b908bb2debb16c7569eb8b76effe614016aac6635f65,,,
2023.12.16,NFT Trader,ETH,,3m,Reentrancy,https://app.blocksec.com/explorer/tx/eth/0xec7523660f8b66d9e4a5931d97ad8b30acc679c973b20038ba4c15d4336b393d,,,
2023.12.17,Floor Protocol,ETH,,1.6m,Business Logic Flaw,https://app.blocksec.com/explorer/tx/eth/0x4d8d7e6f2bdc49e724b8d2a0241cf31d0911a230fa17230c7f025cead1842e93,,,
2023.12.20,Transit Finance,BSC,,110k,Untrusted Input,https://app.blocksec.com/explorer/tx/bsc/0x93ae5f0a121d5e1aadae052c36bc5ecf2d406d35222f4c6a5d63fef1d6de1081,,,
2024.1.2,Radiant Capital,Arbitrum,,4.5m,Accounting Error,"https://app.blocksec.com/explorer/tx/arbitrum/0xc5c4bbddec70edb58efba60c1f27bce6515a45ffcab4236026a5eeb3e877fc6d,https://app.blocksec.com/explorer/tx/arbitrum/0x2af556386c023f7ebe7c662fd5d1c6cc5ed7fba4723cbd75e00faaa98cd14243,https://app.blocksec.com/explorer/tx/arbitrum/0x1ce7e9a9e3b6dd3293c9067221ac3260858ce119ecb7ca860eac28b2474c7c9b",,,
2024.1.4,Gamma Strategies,Arbitrum,,6.5m,Vulnerable Price Dependency,"https://app.blocksec.com/explorer/tx/arbitrum/0xa96584f8ab7c27daea33798bb8a66286c75a2ba57eee3b4192c771f4eb4ac609,https://app.blocksec.com/explorer/tx/arbitrum/0xcbb7ba9aca8467c561e7a1213556fc0da0a7d80d076c08856b590de9ff03f838,https://app.blocksec.com/explorer/tx/arbitrum/0xbbc005af95fdb0decf477989059f70ebae8433955ac3ab1cf77a30ff30f0b615,https://app.blocksec.com/explorer/tx/arbitrum/0xe4bf6f1c964a89d48af60216ce110f4bf54fcbada20b7cefaf6bea55c9f4d542,https://app.blocksec.com/explorer/tx/arbitrum/0xcfdc8147022e8133e74d3576d43ffb56543de30ecf2a4c8c154e51ab18551926,https://app.blocksec.com/explorer/tx/arbitrum/0xf99d4164aa91d94b8b2237a4fbe789c0d117460dcbe2242e832f95447166892b,https://app.blocksec.com/explorer/tx/arbitrum/0xfb044b7d892b812b430decba322922d17c3f902db6040d872d0f845e6eae7ce1,https://app.blocksec.com/explorer/tx/arbitrum/0xe63c77d4a205e1036a230b483753876a93915706af24264e64e470919339ab98,https://app.blocksec.com/explorer/tx/arbitrum/0xff88d10bc452c3dcf04e4ea42c585b86ac521728a40d70ec97e846ed0f0d1597,https://app.blocksec.com/explorer/tx/arbitrum/0xadb209cc735cec128adc9dff43bc4666cf37037efd375970eaf23a2f9fda6e03,https://app.blocksec.com/explorer/tx/arbitrum/0xb678ceb8da285bd6367a3e01af245d93dd23ab8f00a15157955c033a2b3b92c3,https://app.blocksec.com/explorer/tx/arbitrum/0xb678ceb8da285bd6367a3e01af245d93dd23ab8f00a15157955c033a2b3b92c3,https://app.blocksec.com/explorer/tx/arbitrum/0xf71e6e5164f8fb866873eb2ac6a600a5148c374d92b89ecbb37ce540a86a4550",,,
2024.1.5,Loot,ETH,,1.2m,Governance Attack,https://app.blocksec.com/explorer/tx/eth/0xbc8c30b7db136e97251eaa9897853ddf125f155b7c63bbe4c06d704384a40556,,,
2024.1.12,Wise Lending,ETH,,460k,Business Logic Flaw,https://app.blocksec.com/explorer/tx/eth/0x04e16a79ff928db2fa88619cdd045cdfc7979a61d836c9c9e585b3d6f6d8bc31,,,
2024.1.16,Socket,ETH,,3.2m,Unverified User Input,"https://app.blocksec.com/explorer/tx/eth/0x591d054a9db63f0976e533f447df482bed5f24d7429646570b2108a67e24ce54,https://app.blocksec.com/explorer/tx/eth/0xc6c3331fa8c2d30e1ef208424c08c039a89e510df2fb6ae31e5aa40722e28fd6",,,
2024.1.17,BasketDAO,ETH,,107k,Unverified User Input,https://app.blocksec.com/explorer/tx/eth/0x97201900198d0054a2f7a914f5625591feb6a18e7fc6bb4f0c964b967a6c15f6,,,
2024.1.22,DAO_SoulMate,ETH,,319k,Access Control Issue,https://app.blocksec.com/explorer/tx/eth/0x1ea0a2e88efceccb2dd93e6e5cb89e5421666caeefb1e6fc41b68168373da342,,,
2024.1.25,NBLGAME,Optimism,,180k,Reentrancy,https://app.blocksec.com/explorer/tx/optimism/0xf4fc3b638f1a377cf22b729199a9aeb27fc62fe2983a65c4d14b99ee5c5b2328,,,
2024.1.28,Barley Finance,ETH,,130k,Reentrancy,"https://app.blocksec.com/explorer/tx/eth/0xb95f56a93af1dbf477b2c527e186cc37aa4a973f8007717ff6c58ac62eb28a62,https://app.blocksec.com/explorer/tx/eth/0x032c9e7fa7d1697fa64fd4a59f0d08278d27aa537525e9bd17f71f01d36b8b6a,https://app.blocksec.com/explorer/tx/eth/0x2a50db3dac1b4468d226deb53cb34737669b5f93848ac04d4e296ade06f9876c,https://app.blocksec.com/explorer/tx/eth/0x995e880635f4a7462a420a58527023f946710167ea4c6c093d7d193062a33b01",,,
2024.1.30,MIM_Spell,ETH,,6.5m,Precision Loss,"https://app.blocksec.com/explorer/tx/eth/0xdb4616b89ad82062787a4e924d520639791302476484b9a6eca5126f79b6d877,https://app.blocksec.com/explorer/tx/eth/0x26a83db7e28838dd9fee6fb7314ae58dcc6aee9a20bf224c386ff5e80f7e4cf2",,,
2024.1.31,CheckDot Protocol,BSC,,120k,Access Control Issue,https://app.blocksec.com/explorer/tx/bsc/0xdd19e3a1657f8381b561c4d6c9b61be67380e10fd4d367ccad6e8cf28c114e72,,,
