Date,Project,Chain,Project Type,Loss,Type,Attack tx,Analyse,Reference Link
20220517,"ApeCoin (APE)",ETH,,1.1m,Flashloan,https://etherscan.io/tx/0xeb8c3bebed11e2e4fcd30cbfc2fb3c55c4ca166003c7f7d319e78eaab9747098,,
20220430,Rari Capital/Fei Protocol,ETH,,80m,Flashloan Attack + Reentrancy,https://etherscan.io/tx/0xab486012f21be741c9e674ffda227e30518e8a1e37a5f1d58d0b0d41f6e76530,,
20220428,DEUS DAO,FTM,,13m,Flashloan & Price Oracle Manipulation,https://ftmscan.com/tx/0xe374495036fac18aa5b1a497a17e70f256c4d3d416dd1408c026f3f5c70a3a9c,,
20220424,Wiener DOGE,,,78BNB,Flashloan,https://bscscan.com/tx/0x4f2005e3815c15d1a9abd8588dd1464769a00414a6b7adcbfd75a5331d378e1d,,
20220421,Zeed Finance,BSC,,1m,,https://bscscan.com/tx/0x0507476234193a9a5c7ae2c47e4c4b833a7c3923cefc6fd7667b72f3ca3fa83a,,
20220416,BeanstalkFarms,ETH ETH,,182m,DAO + Flashloan,https://etherscan.io/tx/0x68cdec0ac76454c3b0f7af0b8a3895db00adf6daaf3b50a99716858c4fa54c6f|https://etherscan.io/tx/0xcd314668aaa9bbfebaf1a0bd2b6553d01dd58899c508d4729fa7311dc5d33ad7,,
20220415,Rikkei Finance,BSC,,1.1m,Access control & Price Oracle Manipulation,https://bscscan.com/tx/0x93a9b022df260f1953420cd3e18789e7d1e095459e36fe2eb534918ed1687492,,
20220412,ElephantMoney,BSC,,11.2m,Flashloan & Price Oracle Manipulation,https://bscscan.com/tx/0xec317deb2f3efdc1dbf7ed5d3902cdf2c33ae512151646383a8cf8cbcd3d4577,,
20220411,Creat Future,BSC,,1.9m,,https://bscscan.com/tx/0xc7647406542f8f2473a06fea142d223022370aa5722c044c2b7ea030b8965dd0,,
20220409,GYMNetwork,BSC,,1327WBNB,Flashloan + token migrate flaw,https://bscscan.com/tx/0xa5b0246f2f8d238bb56c0ddb500b04bbe0c30db650e06a41e00b6a0fff11a7e5,,
20220329,Ronin Network,ETH ETH,,624m,Bridge,https://etherscan.io/tx/0xed2c72ef1a552ddaec6dd1f5cddf0b59a8f37f82bdda5257d9c7c37db7bb9b08|https://etherscan.io/tx/0xc28fad5e8d5e0ce6a2eaf67b6687be5d58113e16be590824d6cfa1a94467d0b7,,
20220327,Revest Finance,ETH,,11.2m,Reentrancy,https://etherscan.io/tx/0xe0b0c2672b760bef4e2851e91c69c8c0ad135c6987bbf1f43f5846d89e691428,,
20220326,Auctus,ETH,,726k,,https://etherscan.io/tx/0x2e7d7e7a6eb157b98974c8687fbd848d0158d37edc1302ea08ee5ddb376befea,,
20220321,OneRing Finance,FTM,,1.45m,Flashloan & Price Oracle Manipulation,https://ftmscan.com/tx/0xca8dd33850e29cf138c8382e17a19e77d7331b57c7a8451648788bbb26a70145,,
20220320,Li.Fi,ETH,,570k,Bridges,https://etherscan.io/tx/0x4b4143cbe7f5475029cf23d6dcbb56856366d91794426f2e33819b9b1aac4e96,,
20220320,Umbrella Network,ETH,,,Underflow,https://etherscan.io/tx/0x33479bcfbc792aa0f8103ab0d7a3784788b5b0e1467c81ffbed1b7682660b4fa,,
